arbitration_id,adj_page_sum,adj_page_mean,adj_page_var,adj_page_sd,adj_page_min,adj_page_max,italaw_title,italaw_case_type,italaw_arbitration_rules,italaw_investment_treaty,italaw_legal_instruments,italaw_economic_sector,page_sum,page_mean,page_var,page_sd,page_min,page_max,num_known_docs,num_avail_docs,pct_avail_docs
1999_lauder_v_czech_republic,75.0,75.0,,,75.0,75.0,"Ronald S. Lauder v. The Czech Republic, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),Czech Republic-United States BIT,Czech Republic-United States BIT,,75.0,75.0,,,75.0,75.0,1,1,1.0
1999_link_trading_v_moldova,43.0,21.5,220.5,14.849242404917497,11.0,32.0,"Link-Trading Joint Stock Company v. Department for Customs Control of the Republic of Moldova, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),Moldova-United States BIT,Moldova-United States BIT,,43.0,21.5,220.5,14.849242404917497,11.0,32.0,4,2,0.5
1999_methanex_v_usa,4782.0,45.542857142857144,6856.327472527474,82.80294362235847,1.0,550.0,"Methanex Corporation v. United States of America, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),NAFTA,NAFTA,,4782.0,45.542857142857144,6856.327472527474,82.80294362235847,1.0,550.0,105,105,1.0
1999_middle_east_cement_v_egypt,44.0,44.0,,,44.0,44.0,"Middle East Cement Shipping and Handling Co. S.A. v. Arab Republic of Egypt, ICSID Case No. ARB/99/6 | italaw",International Investment Agreement,ICSID,Egypt-Greece BIT,Egypt-Greece BIT,,44.0,44.0,,,44.0,44.0,2,1,0.5
1999_mitchell_v_democratic_republic_of_the_congo,70.0,17.5,88.33333333333333,9.39858145324779,6.0,27.0,"Mr. Patrick Mitchell v. Democratic Republic of the Congo, ICSID Case No. ARB/99/7 | italaw",International Investment Agreement,ICSID,Democratic Republic of Congo-United States BIT,Democratic Republic of Congo-United States BIT,,70.0,17.5,88.33333333333333,9.39858145324779,6.0,27.0,4,4,1.0
1999_mondev_v_usa,1431.0,143.1,8889.211111111112,94.28261298410811,17.0,297.0,"Mondev International Ltd. v. United States of America, ICSID Case No. ARB(AF)/99/2 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,Construction,1431.0,143.1,8889.211111111112,94.28261298410811,17.0,297.0,13,10,0.7692307692307693
1999_pope_talbot_v_canada,1369.0,21.73015873015873,1021.6195596518179,31.96278397843057,2.0,152.0,"Pope & Talbot Inc. v. The Government of Canada, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),NAFTA,NAFTA,"Agriculture, forestry and fishing",1369.0,21.73015873015873,1021.6195596518179,31.96278397843057,2.0,152.0,63,63,1.0
1999_swembalt_v_latvia,49.0,16.333333333333332,49.33333333333334,7.023769168568493,9.0,23.0,"Swembalt AB, Sweden v. The Republic of Latvia, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),Latvia-Sweden BIT,Latvia-Sweden BIT,,49.0,16.333333333333332,49.33333333333334,7.023769168568493,9.0,23.0,4,3,0.75
2000_adf_v_usa,1531.0,56.7037037037037,5806.985754985755,76.20358098531692,4.0,277.0,"ADF Group Inc. v. United States of America, ICSID Case No. ARB (AF)/00/1 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,Transportation and storage,1531.0,56.7037037037037,5806.985754985755,76.20358098531692,4.0,277.0,27,27,1.0
2000_cme_v_czech_republic,754.0,94.25,4003.6428571428573,63.27434596377,9.0,179.0,"CME Czech Republic B.V. v. The Czech Republic, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),Czech Republic-Netherlands BIT,Czech Republic-Netherlands BIT,,747.0,93.375,3862.2678571428573,62.14714681417689,9.0,179.0,10,8,0.8
2000_generation_ukraine_v_ukraine,102.0,102.0,,,102.0,102.0,"Generation Ukraine, Inc. v. Ukraine, ICSID Case No. ARB/00/9 | italaw",International Investment Agreement,ICSID,Ukraine-United States BIT,Ukraine-United States BIT,,102.0,102.0,,,102.0,102.0,1,1,1.0
2000_mihaly_v_sri_lanka,24.0,12.0,98.0,9.899494936611665,5.0,19.0,"Mihaly International Corporation v. Democratic Socialist Republic of Sri Lanka, ICSID Case No. ARB/00/2  | italaw",International Investment Agreement,ICSID,Sri Lanka-United States BIT,Sri Lanka-United States BIT,,24.0,12.0,98.0,9.899494936611665,5.0,19.0,2,2,1.0
2000_rfcc_v_morocco,101.0,50.5,544.5,23.33452377915607,34.0,67.0,"Consortium RFCC v. Royaume du Maroc, ICSID Case No. ARB/00/6 | italaw",International Investment Agreement,ICSID,Italy-Morocco BIT,Italy-Morocco BIT,,101.0,50.5,544.5,23.33452377915607,34.0,67.0,3,2,0.6666666666666666
2000_salini_v_morocco,16.0,16.0,,,16.0,16.0,"Salini Costruttori S.p.A. and Italstrade S.p.A. v. Kingdom of Morocco [I], ICSID Case No. ARB/00/4  | italaw",International Investment Agreement,ICSID Convention - Arbitration Rules,Italy-Morocco BIT,Italy-Morocco BIT,Construction,16.0,16.0,,,16.0,16.0,2,1,0.5
2000_tecmed_v_mexico,662.0,73.55555555555556,5051.027777777777,71.07058306907139,3.0,191.0,"Técnicas Medioambientales Tecmed, S.A. v. The United Mexican States, ICSID Case No. ARB (AF)/00/2 | italaw",International Investment Agreement,ICSID Additional Facility,Mexico-Spain BIT,Mexico-Spain BIT,,662.0,73.55555555555556,5051.027777777777,71.07058306907139,3.0,191.0,9,9,1.0
2000_ups_v_canada,3083.0,34.640449438202246,3720.2783452502554,60.99408451030522,1.0,327.0,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No. UNCT/02/1 | italaw",International Investment Agreement,UNCITRAL (1976),NAFTA,NAFTA,Transportation and storage,3083.0,34.640449438202246,3720.2783452502554,60.99408451030522,1.0,327.0,89,89,1.0
2000_waste_management_v_mexico_ii,558.0,24.26086956521739,944.8379446640319,30.738216354629817,1.0,107.0,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,,558.0,24.26086956521739,944.8379446640319,30.738216354629817,1.0,107.0,23,23,1.0
2000_yaung_chi_v_myanmar,20.0,20.0,,,20.0,20.0,"Yaung Chi Oo Trading Pte. Ltd. v. Government of the Union of Myanmar, ASEAN I.D. Case No. ARB/01/1 | italaw",International Investment Agreement,ICSID,ASEAN Agreement for the Promotion and Protection of Investments,ASEAN Agreement for the Promotion and Protection of Investments,,20.0,20.0,,,20.0,20.0,1,1,1.0
2001_aig_v_kazakhstan,152.0,76.0,3872.0,62.22539674441618,32.0,120.0,"AIG Capital Partners, Inc. and CJSC Tema Real Estate Company Ltd. v. The Republic of Kazakhstan, ICSID Case No. ARB/01/6  | italaw",International Investment Agreement,ICSID,Kazakhstan-United States BIT,,,152.0,76.0,3872.0,62.22539674441618,32.0,120.0,2,2,1.0
2001_azurix_v_argentina_i,414.0,103.5,6407.0,80.04373804364711,18.0,179.0,"Azurix Corp. v. The Argentine Republic, ICSID Case No. ARB/01/12 | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,Argentina-United States BIT,,414.0,103.5,6407.0,80.04373804364711,18.0,179.0,7,4,0.5714285714285714
2001_ccl_oil_v_kazakhstan,171.0,57.0,0.0,0.0,57.0,57.0,"CCL v. Republic of Kazakhstan, SCC Case 122/2001 | italaw",International Investment Agreement,SCC,Kazakhstan-United States BIT,Kazakhstan-United States BIT,,168.0,56.0,0.0,0.0,56.0,56.0,3,3,1.0
2001_cms_v_argentina,325.0,36.111111111111114,1938.111111111111,44.02398336260715,1.0,147.0,"CMS Gas Transmission Company v. The Republic of Argentina, ICSID Case No. ARB/01/8 | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,Argentina-United States BIT,,325.0,36.111111111111114,1938.111111111111,44.02398336260715,1.0,147.0,11,9,0.8181818181818182
2001_enron_v_argentina,483.0,60.375,3563.6964285714284,59.69670366587613,18.0,170.0,"Enron Corporation and Ponderosa Assets, L.P. v. Argentine Republic, ICSID Case No. ARB/01/3 (also known as: Enron Creditors Recovery Corp. and Ponderosa Assets, L.P. v. The Argentine Republic)  | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,Argentina-United States BIT,,483.0,60.375,3563.6964285714284,59.69670366587613,18.0,170.0,8,8,1.0
2001_f_w_oil_v_trinidad_tobago,90.0,90.0,,,90.0,90.0,"F-W Oil Interests, Inc. v. The Republic of Trinidad and Tobago, ICSID Case No. ARB/01/14 | italaw",International Investment Agreement,ICSID,Trinidad and Tobago-United States BIT,Trinidad and Tobago-United States BIT,,90.0,90.0,,,90.0,90.0,1,1,1.0
2001_goetz_v_burundi_ii,105.0,105.0,,,105.0,105.0,"Antoine Goetz & Others and S.A. Affinage des Metaux v. Republic of Burundi, ICSID Case No. ARB/01/2 | italaw",International Investment Agreement,ICSID,Belgium-Luxembourg-Burundi BIT,,,105.0,105.0,,,105.0,105.0,1,1,1.0
2001_mtd_v_chile,210.0,42.0,2543.0,50.428166732491874,1.0,97.0,"MTD Equity Sdn. Bhd. and MTD Chile S.A. v. Republic of Chile, ICSID Case No. ARB/01/7  | italaw",International Investment Agreement,ICSID,Chile-Malaysia BIT,Chile-Malaysia BIT,,210.0,42.0,2543.0,50.428166732491874,1.0,97.0,5,5,1.0
2001_noble_ventures_v_romania,154.0,77.0,9800.0,98.99494936611666,7.0,147.0,"Noble Ventures, Inc. v. Romania, ICSID Case No. ARB/01/11 | italaw",International Investment Agreement,ICSID,Romania-United States BIT,Romania-United States BIT,,154.0,77.0,9800.0,98.99494936611666,7.0,147.0,3,2,0.6666666666666666
2001_nykomb_v_latvia,212.0,42.4,1529.8,39.11265779770022,13.0,108.0,"Nykomb Synergetics Technology Holding AB v. The Republic of Latvia, SCC | italaw",International Investment Agreement,SCC,Energy Charter Treaty (ECT),Energy Charter Treaty (ECT),,212.0,42.4,1529.8,39.11265779770022,13.0,108.0,5,5,1.0
2001_saluka_v_czech_republic,202.0,40.4,1473.3,38.38359024374869,8.0,106.0,"Saluka Investments B.V. v. The Czech Republic, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),Czech Republic-Netherlands BIT,Czech Republic-Netherlands BIT,,202.0,40.4,1473.3,38.38359024374869,8.0,106.0,5,5,1.0
2001_sgs_v_pakistan,125.0,25.0,701.0,26.476404589747453,2.0,68.0,"SGS Société Générale de Surveillance S.A. v. Islamic Republic of Pakistan, ICSID Case No. ARB/01/13 | italaw",International Investment Agreement,ICSID Convention - Arbitration Rules,Pakistan-Switzerland BIT,Pakistan-Switzerland BIT,Other service activities,125.0,25.0,701.0,26.476404589747453,2.0,68.0,6,5,0.8333333333333334
2002_aes_v_argentina,57.0,28.5,40.5,6.363961030678928,24.0,33.0,"AES Corporation v. The Argentine Republic, ICSID Case No. ARB/02/17  | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,,,57.0,28.5,40.5,6.363961030678928,24.0,33.0,2,2,1.0
2002_aguas_del_tunari_v_bolivia,126.0,42.0,2964.0,54.4426303552648,2.0,104.0,"Aguas del Tunari, S.A. v. Republic of Bolivia, ICSID Case No. ARB/02/3  | italaw",International Investment Agreement,ICSID,Bolivia-Netherlands BIT,,,126.0,42.0,2964.0,54.4426303552648,2.0,104.0,6,3,0.5
2002_canfor_v_usa,3078.0,51.3,5036.315254237291,70.96700116418398,2.0,343.0,"Canfor Corporation v. United States of America; Terminal Forest Products Ltd. v. United States of America, UNCITRAL (formerly Canfor Corporation v. United States of America; Tembec et al. v. United States of America; Terminal Forest Products Ltd. v.  | italaw",International Investment Agreement,UNCITRAL (1976),NAFTA,NAFTA,,3078.0,51.3,5036.315254237291,70.96700116418398,2.0,343.0,60,60,1.0
